Course Code,Semester,Course Name,Course Aliases, Main Course Staff  
COMP9322 , 18s1 , Software Service Design and Engineering ,  , Fethi Rabhi; Onur Demirors; George Joukhadar; 
COMP9332 , 18s1 , Network Routing and Switching  ,  , Wen Hu; Mehdi Nobakht; 
COMP9334 , 18s1 , Capacity Planning of Computer Systems and Networks ,  , Chun Tung Chou; 
COMP9417 , 18s1 , Machine Learning and Data Mining ,  , Omar Ghattas; Michael Bain; Irah Wajchman; 
COMP9517 , 18s1 , Computer Vision ,  , Xiongcai Cai; Arcot Sowmya; Manna Elizabeth Philip; 
COMP9900 , 18s1 , Information Technology Project , COMP3900 , Tatjana Zrimec; Raymond Wong; 
ENGG1811 , 18s1 , Computing for Engineers ,  , Ashesh Mahidadia; Mei Cheng Whale; 
SENG2021 , 18s1 , Requirements and Design Workshop ,  , Fethi Rabhi; Morty Al-Banna; 
SENG3011 , 18s1 , Software Engineering Workshops 3 ,  , Fethi Rabhi; Madhushi Bandara; 
COMP2521 , 18x1 , Data Structures and Algorithms ,  , Angela Finlayson; Ashesh Mahidadia; Jashank Jeremy; 
COMP9024 , 18x1 , Data Structures and Algorithms  ,  , Ashesh Mahidadia; 
ENPY1811 , 18x1 , Computing for Engineers (Python edition) ,  , Mei Cheng Whale; Ashesh Mahidadia; Chun Tung Chou; 
COMP1400 , 17s2 , Programming for Designers ,  , Tatjana Zrimec; Hailun Tan; Isaac Carr; 
COMP1511 , 17s2 , Introduction to Programming ,  , Mei Cheng Whale; Alex Linker; Jashank Jeremy; Andrew Bennett; Curtis Millar; John Shepherd; Ashesh Mahidadia; 
COMP1521 , 17s2 , Computer Systems Fundamentals ,  , Mei Cheng Whale; Wael Alghamdi; John Shepherd; Zainab Abaid; 
COMP1531 , 17s2 , Software Engineering Fundamentals ,  , Aarthi Natarajan; Kongzhang Hao; Deepanjan Chakrabarty; 
COMP2121 , 17s2 , Microprocessors and Interfacing ,  , Hui Wu; Arash Bayat; John Shepherd; 
COMP2521 , 17s2 , Data Structures and Algorithms ,  , Ashesh Mahidadia; 
COMP3222 , 17s2 , Digital Circuits & Systems , COMP9222 , Oliver Diessel; 
COMP3421 , 17s2 , Computer Graphics , COMP9415 , Robert Clifton-Everest; Angela Finlayson; 
COMP3431 , 17s2 , Robot Software Architectures , COMP9431 , Claude Sammut; Timothy Wiley; David Rajaratnam; 
COMP4418 , 17s2 , Knowledge Representation and Reasoning ,  , Christoph Schwering; Maurice Pagnucco; Abdallah Saffidine; David Rajaratnam; 
COMP6733 , 17s2 , Internet of Things Design Studio ,  , Wen Hu; 
COMP6741 , 17s2 , Parameterized and Exact Computation ,  , Shenwei Huang; Edward Jay Lee; Serge Gaspers; 
COMP9020 , 17s2 , Foundations of Computer Science ,  , Manas Patra; Paul Hunter; John Shepherd; Michael Thielscher; 
COMP9021 , 17s2 , Principles of Programming ,  , Eric Martin; 
COMP9024 , 17s2 , Data Structures and Algorithms ,  , Michael Thielscher; 
COMP9311 , 17s2 , Database Systems ,  , John Shepherd; Rachid Hamadi; 
COMP9322 , 17s2 , Service Oriented Architectures ,  , Mohammadali Yaghoubzadehfard; Helen Paik; 
COMP9418 , 17s2 , Advanced Topics In Statistical Machine Learning ,  , Michael Bain; Edwin Bonilla; 
COMP9444 , 17s2 , Neural Networks and Deep Learning ,  , Alexander Long; Joel Mason; Alan Blair; 
COMP9517 , 17s2 , Computer Vision ,  , Xiongcai Cai; Arcot Sowmya; Manna Elizabeth Philip; 
COMP9900 , 17s2 , Information Technology Project ,  , Tatjana Zrimec; Raymond Wong; 
