Course Staff, Course Code,Semester,Course Name  
Morty Al-Banna,COMP6324 , 18s1 , IoT Service Design and Engineering
Michael Thielscher,COMP9020 , 18s1 , Foundations of Computer Science
Michael Schofield,COMP9020 , 18s1 , Foundations of Computer Science
Matthew Perry,COMP9021 , 18s1 , Principles of Programming
Eric Martin,COMP9021 , 18s1 , Principles of Programming
Hui Wu,COMP9024 , 18s1 , Data Structures and Algorithms
Ihor Kuz,COMP9243 , 18s1 , Distributed Systems
Helen Paik,COMP9321 , 18s1 , Data Services Engineering
Alireza Tabebordbar,COMP9321 , 18s1 , Data Services Engineering
Mohammadali Yaghoubzadehfard,COMP9321 , 18s1 , Data Services Engineering
Fethi Rabhi,COMP9322 , 18s1 , Software Service Design and Engineering
Onur Demirors,COMP9322 , 18s1 , Software Service Design and Engineering
George Joukhadar,COMP9322 , 18s1 , Software Service Design and Engineering
Wen Hu,COMP9332 , 18s1 , Network Routing and Switching 
Mehdi Nobakht,COMP9332 , 18s1 , Network Routing and Switching 
Chun Tung Chou,COMP9334 , 18s1 , Capacity Planning of Computer Systems and Networks
Omar Ghattas,COMP9417 , 18s1 , Machine Learning and Data Mining
Michael Bain,COMP9417 , 18s1 , Machine Learning and Data Mining
Irah Wajchman,COMP9417 , 18s1 , Machine Learning and Data Mining
Xiongcai Cai,COMP9517 , 18s1 , Computer Vision
Arcot Sowmya,COMP9517 , 18s1 , Computer Vision
Manna Elizabeth Philip,COMP9517 , 18s1 , Computer Vision
Tatjana Zrimec,COMP9900 , 18s1 , Information Technology Project
Raymond Wong,COMP9900 , 18s1 , Information Technology Project
Ashesh Mahidadia,ENGG1811 , 18s1 , Computing for Engineers
Mei Cheng Whale,ENGG1811 , 18s1 , Computing for Engineers
Fethi Rabhi,SENG2021 , 18s1 , Requirements and Design Workshop
Morty Al-Banna,SENG2021 , 18s1 , Requirements and Design Workshop
Fethi Rabhi,SENG3011 , 18s1 , Software Engineering Workshops 3
Madhushi Bandara,SENG3011 , 18s1 , Software Engineering Workshops 3
Angela Finlayson,COMP2521 , 18x1 , Data Structures and Algorithms
Ashesh Mahidadia,COMP2521 , 18x1 , Data Structures and Algorithms
Jashank Jeremy,COMP2521 , 18x1 , Data Structures and Algorithms
Ashesh Mahidadia,COMP9024 , 18x1 , Data Structures and Algorithms 
Mei Cheng Whale,ENPY1811 , 18x1 , Computing for Engineers (Python edition)
Ashesh Mahidadia,ENPY1811 , 18x1 , Computing for Engineers (Python edition)
Chun Tung Chou,ENPY1811 , 18x1 , Computing for Engineers (Python edition)
Tatjana Zrimec,COMP1400 , 17s2 , Programming for Designers
Hailun Tan,COMP1400 , 17s2 , Programming for Designers
Isaac Carr,COMP1400 , 17s2 , Programming for Designers
Mei Cheng Whale,COMP1511 , 17s2 , Introduction to Programming
Alex Linker,COMP1511 , 17s2 , Introduction to Programming
Jashank Jeremy,COMP1511 , 17s2 , Introduction to Programming
Andrew Bennett,COMP1511 , 17s2 , Introduction to Programming
Curtis Millar,COMP1511 , 17s2 , Introduction to Programming
John Shepherd,COMP1511 , 17s2 , Introduction to Programming
Ashesh Mahidadia,COMP1511 , 17s2 , Introduction to Programming
Mei Cheng Whale,COMP1521 , 17s2 , Computer Systems Fundamentals
Wael Alghamdi,COMP1521 , 17s2 , Computer Systems Fundamentals
John Shepherd,COMP1521 , 17s2 , Computer Systems Fundamentals
Zainab Abaid,COMP1521 , 17s2 , Computer Systems Fundamentals
Aarthi Natarajan,COMP1531 , 17s2 , Software Engineering Fundamentals
Kongzhang Hao,COMP1531 , 17s2 , Software Engineering Fundamentals
Deepanjan Chakrabarty,COMP1531 , 17s2 , Software Engineering Fundamentals
Hui Wu,COMP2121 , 17s2 , Microprocessors and Interfacing
Arash Bayat,COMP2121 , 17s2 , Microprocessors and Interfacing
John Shepherd,COMP2121 , 17s2 , Microprocessors and Interfacing
Ashesh Mahidadia,COMP2521 , 17s2 , Data Structures and Algorithms
Oliver Diessel,COMP3222 , 17s2 , Digital Circuits & Systems
Robert Clifton-Everest,COMP3421 , 17s2 , Computer Graphics
Angela Finlayson,COMP3421 , 17s2 , Computer Graphics
Claude Sammut,COMP3431 , 17s2 , Robot Software Architectures
Timothy Wiley,COMP3431 , 17s2 , Robot Software Architectures
David Rajaratnam,COMP3431 , 17s2 , Robot Software Architectures
Christoph Schwering,COMP4418 , 17s2 , Knowledge Representation and Reasoning
Maurice Pagnucco,COMP4418 , 17s2 , Knowledge Representation and Reasoning
Abdallah Saffidine,COMP4418 , 17s2 , Knowledge Representation and Reasoning
David Rajaratnam,COMP4418 , 17s2 , Knowledge Representation and Reasoning
Wen Hu,COMP6733 , 17s2 , Internet of Things Design Studio
Shenwei Huang,COMP6741 , 17s2 , Parameterized and Exact Computation
Edward Jay Lee,COMP6741 , 17s2 , Parameterized and Exact Computation
Serge Gaspers,COMP6741 , 17s2 , Parameterized and Exact Computation
Manas Patra,COMP9020 , 17s2 , Foundations of Computer Science
Paul Hunter,COMP9020 , 17s2 , Foundations of Computer Science
John Shepherd,COMP9020 , 17s2 , Foundations of Computer Science
Michael Thielscher,COMP9020 , 17s2 , Foundations of Computer Science
Eric Martin,COMP9021 , 17s2 , Principles of Programming
Michael Thielscher,COMP9024 , 17s2 , Data Structures and Algorithms
John Shepherd,COMP9311 , 17s2 , Database Systems
Rachid Hamadi,COMP9311 , 17s2 , Database Systems
Mohammadali Yaghoubzadehfard,COMP9322 , 17s2 , Service Oriented Architectures
Helen Paik,COMP9322 , 17s2 , Service Oriented Architectures
Michael Bain,COMP9418 , 17s2 , Advanced Topics In Statistical Machine Learning
Edwin Bonilla,COMP9418 , 17s2 , Advanced Topics In Statistical Machine Learning
Alexander Long,COMP9444 , 17s2 , Neural Networks and Deep Learning
Joel Mason,COMP9444 , 17s2 , Neural Networks and Deep Learning
Alan Blair,COMP9444 , 17s2 , Neural Networks and Deep Learning
Xiongcai Cai,COMP9517 , 17s2 , Computer Vision
Arcot Sowmya,COMP9517 , 17s2 , Computer Vision
Manna Elizabeth Philip,COMP9517 , 17s2 , Computer Vision
Tatjana Zrimec,COMP9900 , 17s2 , Information Technology Project
Raymond Wong,COMP9900 , 17s2 , Information Technology Project
Ashesh Mahidadia,ENGG1811 , 17s2 , Computing for Engineers
Mei Cheng Whale,ENGG1811 , 17s2 , Computing for Engineers
John Shepherd,ENGG1811 , 17s2 , Computing for Engineers
Victor Jauregui,GSOE9210 , 17s2 , Engineering Decisions
Hussein Debel,SENG2021 , 17s2 , Software Engineering Workshop 2B
Ali Darejeh,SENG2021 , 17s2 , Software Engineering Workshop 2B
Fethi Rabhi,SENG2021 , 17s2 , Software Engineering Workshop 2B
Madhushi Bandara,SENG2021 , 17s2 , Software Engineering Workshop 2B
Helen Paik,THES0001 , 17s2 , Thesis A
Helen Paik,THES0002 , 17s2 , Thesis B
Bruno Gaeta,BINF3021 , 17s1 , Genome Informatics Engineering Workshop
Bruno Gaeta,BINF3111 , 17s1 , Genome Informatics Design Workshop
Wei Xu,COMP1000 , 17s1 , Web Spreadsheets and Databases
Aarthi Natarajan,COMP1000 , 17s1 , Web Spreadsheets and Databases
John Shepherd,COMP1511 , 17s1 , Introduction to Programming
Andrew Taylor,COMP1511 , 17s1 , Introduction to Programming
Mei Cheng Whale,COMP1511 , 17s1 , Introduction to Programming
Angela Finlayson,COMP1911 , 17s1 , Computing 1A
Ashesh Mahidadia,COMP1927 , 17s1 , Computing 2
Mei Cheng Whale,COMP1927 , 17s1 , Computing 2
Gabriele Keller,COMP3141 , 17s1 , Software System Design and Implementation
Liam O'Connor-Davis,COMP3141 , 17s1 , Software System Design and Implementation
Oliver Diessel,COMP4601 , 17s1 , Design Project B
Michael Thielscher,COMP9020 , 17s1 , Foundations of Computer Science
Eric Martin,COMP9021 , 17s1 , Principles of Programming
Hui Wu,COMP9024 , 17s1 , Data Structures and Algorithms
Ihor Kuz,COMP9243 , 17s1 , Distributed Systems
Helen Paik,COMP9322 , 17s1 , Service Oriented Computing
Chun Tung Chou,COMP9334 , 17s1 , Capacity Planning of Computer Systems and Networks
Chun Tung Chou,ENGG1811 , 17s1 , Computing for Engineers
Mei Cheng Whale,ENGG1811 , 17s1 , Computing for Engineers
Ashesh Mahidadia,ENGG1811 , 17s1 , Computing for Engineers
